,episode reward,episode,Method
0,-1.0,1,PPO
1,-1.0,2,PPO
2,-1.0,3,PPO
3,-0.7857142857142857,4,PPO
4,-0.5,5,PPO
5,-0.22727272727272727,6,PPO
6,-0.045454545454545456,7,PPO
7,-0.045454545454545456,8,PPO
8,-0.045454545454545456,9,PPO
9,0.09090909090909091,10,PPO
10,0.45454545454545453,11,PPO
11,0.8181818181818182,12,PPO
12,0.9545454545454546,13,PPO
13,1.3181818181818181,14,PPO
14,1.7272727272727273,15,PPO
15,2.409090909090909,16,PPO
16,3.1363636363636362,17,PPO
17,3.090909090909091,18,PPO
18,3.590909090909091,19,PPO
19,4.454545454545454,20,PPO
20,5.545454545454546,21,PPO
21,7.318181818181818,22,PPO
22,7.181818181818182,23,PPO
23,8.136363636363637,24,PPO
24,9.409090909090908,25,PPO
25,10.454545454545455,26,PPO
26,12.090909090909092,27,PPO
27,12.045454545454545,28,PPO
28,13.681818181818182,29,PPO
29,14.409090909090908,30,PPO
30,13.909090909090908,31,PPO
31,14.454545454545455,32,PPO
32,12.681818181818182,33,PPO
33,13.545454545454545,34,PPO
34,13.136363636363637,35,PPO
35,14.409090909090908,36,PPO
36,15.681818181818182,37,PPO
37,14.590909090909092,38,PPO
38,15.681818181818182,39,PPO
39,14.772727272727273,40,PPO
40,15.5,41,PPO
41,16.045454545454547,42,PPO
42,15.5,43,PPO
43,16.727272727272727,44,PPO
44,18.545454545454547,45,PPO
45,18.545454545454547,46,PPO
46,17.818181818181817,47,PPO
47,16.181818181818183,48,PPO
48,16.90909090909091,49,PPO
49,16.181818181818183,50,PPO
50,17.818181818181817,51,PPO
51,16.727272727272727,52,PPO
52,18.681818181818183,53,PPO
53,20.863636363636363,54,PPO
54,22.545454545454547,55,PPO
55,21.636363636363637,56,PPO
56,23.818181818181817,57,PPO
57,23.818181818181817,58,PPO
58,25.318181818181817,59,PPO
59,24.772727272727273,60,PPO
60,25.863636363636363,61,PPO
61,26.59090909090909,62,PPO
62,27.863636363636363,63,PPO
63,28.045454545454547,64,PPO
64,30.636363636363637,65,PPO
65,28.40909090909091,66,PPO
66,28.59090909090909,67,PPO
67,28.954545454545453,68,PPO
68,30.40909090909091,69,PPO
69,30.545454545454547,70,PPO
70,31.272727272727273,71,PPO
71,31.818181818181817,72,PPO
72,30.0,73,PPO
73,32.90909090909091,74,PPO
74,32.18181818181818,75,PPO
75,28.318181818181817,76,PPO
76,30.5,77,PPO
77,30.363636363636363,78,PPO
78,32.18181818181818,79,PPO
79,33.63636363636363,80,PPO
80,36.0,81,PPO
81,36.90909090909091,82,PPO
82,35.63636363636363,83,PPO
83,38.36363636363637,84,PPO
84,33.63636363636363,85,PPO
85,34.0,86,PPO
86,34.36363636363637,87,PPO
87,35.45454545454545,88,PPO
88,35.95454545454545,89,PPO
89,33.09090909090909,90,PPO
90,30.727272727272727,91,PPO
91,28.545454545454547,92,PPO
92,30.545454545454547,93,PPO
93,31.454545454545453,94,PPO
94,31.818181818181817,95,PPO
95,33.45454545454545,96,PPO
96,34.90909090909091,97,PPO
97,36.77272727272727,98,PPO
98,35.86363636363637,99,PPO
99,36.04545454545455,100,PPO
100,36.0,101,PPO
101,35.27272727272727,102,PPO
102,35.63636363636363,103,PPO
103,31.818181818181817,104,PPO
104,30.363636363636363,105,PPO
105,28.045454545454547,106,PPO
106,31.318181818181817,107,PPO
107,33.13636363636363,108,PPO
108,31.818181818181817,109,PPO
109,31.454545454545453,110,PPO
110,31.454545454545453,111,PPO
111,31.272727272727273,112,PPO
112,32.36363636363637,113,PPO
113,29.818181818181817,114,PPO
114,33.45454545454545,115,PPO
115,36.0,116,PPO
116,38.68181818181818,117,PPO
117,34.68181818181818,118,PPO
118,31.954545454545453,119,PPO
119,31.227272727272727,120,PPO
120,30.318181818181817,121,PPO
121,30.863636363636363,122,PPO
122,34.0,123,PPO
123,34.18181818181818,124,PPO
124,35.63636363636363,125,PPO
125,34.54545454545455,126,PPO
126,34.36363636363637,127,PPO
127,33.81818181818182,128,PPO
128,35.27272727272727,129,PPO
129,32.54545454545455,130,PPO
130,34.18181818181818,131,PPO
131,36.54545454545455,132,PPO
132,36.18181818181818,133,PPO
133,32.31818181818182,134,PPO
134,31.954545454545453,135,PPO
135,33.22727272727273,136,PPO
136,32.86363636363637,137,PPO
137,32.18181818181818,138,PPO
138,30.727272727272727,139,PPO
139,30.0,140,PPO
140,33.09090909090909,141,PPO
141,36.90909090909091,142,PPO
142,33.81818181818182,143,PPO
143,33.81818181818182,144,PPO
144,36.54545454545455,145,PPO
145,36.90909090909091,146,PPO
146,37.45454545454545,147,PPO
147,39.09090909090909,148,PPO
148,37.59090909090909,149,PPO
149,40.5,150,PPO
150,42.13636363636363,151,PPO
151,41.22727272727273,152,PPO
152,38.13636363636363,153,PPO
153,40.86363636363637,154,PPO
154,42.86363636363637,155,PPO
155,44.31818181818182,156,PPO
156,45.27272727272727,157,PPO
157,44.72727272727273,158,PPO
158,42.72727272727273,159,PPO
159,44.90909090909091,160,PPO
160,42.18181818181818,161,PPO
161,43.27272727272727,162,PPO
162,44.0,163,PPO
163,46.18181818181818,164,PPO
164,45.27272727272727,165,PPO
165,41.45454545454545,166,PPO
166,37.13636363636363,167,PPO
167,33.09090909090909,168,PPO
168,34.0,169,PPO
169,37.09090909090909,170,PPO
170,36.54545454545455,171,PPO
171,35.81818181818182,172,PPO
172,35.63636363636363,173,PPO
173,34.90909090909091,174,PPO
174,31.818181818181817,175,PPO
175,33.81818181818182,176,PPO
176,36.0,177,PPO
177,39.09090909090909,178,PPO
178,41.45454545454545,179,PPO
179,39.63636363636363,180,PPO
180,37.63636363636363,181,PPO
181,37.86363636363637,182,PPO
182,40.04545454545455,183,PPO
183,39.5,184,PPO
184,41.72727272727273,185,PPO
185,41.54545454545455,186,PPO
186,37.36363636363637,187,PPO
187,37.72727272727273,188,PPO
188,37.13636363636363,189,PPO
189,38.95454545454545,190,PPO
190,37.13636363636363,191,PPO
191,34.22727272727273,192,PPO
192,36.0,193,PPO
193,36.0,194,PPO
194,35.81818181818182,195,PPO
195,34.31818181818182,196,PPO
196,34.13636363636363,197,PPO
197,39.04545454545455,198,PPO
198,38.5,199,PPO
199,37.22727272727273,200,PPO
200,37.04545454545455,201,PPO
201,37.04545454545455,202,PPO
202,39.27272727272727,203,PPO
203,35.63636363636363,204,PPO
204,33.45454545454545,205,PPO
205,32.36363636363637,206,PPO
206,31.818181818181817,207,PPO
207,32.36363636363637,208,PPO
208,29.454545454545453,209,PPO
209,30.727272727272727,210,PPO
210,33.27272727272727,211,PPO
211,35.09090909090909,212,PPO
212,38.0,213,PPO
213,39.40909090909091,214,PPO
214,40.5,215,PPO
215,40.86363636363637,216,PPO
216,42.5,217,PPO
217,42.86363636363637,218,PPO
218,42.68181818181818,219,PPO
219,42.86363636363637,220,PPO
220,42.5,221,PPO
221,41.95454545454545,222,PPO
222,40.86363636363637,223,PPO
223,40.13636363636363,224,PPO
224,37.22727272727273,225,PPO
225,38.86363636363637,226,PPO
226,38.68181818181818,227,PPO
227,37.22727272727273,228,PPO
228,37.04545454545455,229,PPO
229,36.5,230,PPO
230,36.86363636363637,231,PPO
231,38.5,232,PPO
232,40.5,233,PPO
233,38.68181818181818,234,PPO
234,40.5,235,PPO
235,44.31818181818182,236,PPO
236,44.31818181818182,237,PPO
237,42.5,238,PPO
238,42.86363636363637,239,PPO
239,41.09090909090909,240,PPO
240,43.09090909090909,241,PPO
241,42.54545454545455,242,PPO
242,42.0,243,PPO
243,37.63636363636363,244,PPO
244,39.27272727272727,245,PPO
245,38.72727272727273,246,PPO
246,36.72727272727273,247,PPO
247,35.63636363636363,248,PPO
248,38.72727272727273,249,PPO
249,39.27272727272727,250,PPO
250,39.63636363636363,251,PPO
251,38.90909090909091,252,PPO
252,39.45454545454545,253,PPO
253,36.72727272727273,254,PPO
254,41.81818181818182,255,PPO
255,40.72727272727273,256,PPO
256,39.27272727272727,257,PPO
